metric,scope,manuscript_or_frozen,reproduced,status
only_docking_support.top5_overlap,top50,NOT_PROVIDED,2,AUTHOR_COMPARISON_PENDING
only_docking_support.top10_overlap,top50,NOT_PROVIDED,6,AUTHOR_COMPARISON_PENDING
only_docking_support.spearman_rho,top50,NOT_PROVIDED,0.651380552221,AUTHOR_COMPARISON_PENDING
only_docking_support.kendall_tau,top50,NOT_PROVIDED,0.488979591837,AUTHOR_COMPARISON_PENDING
without_solubility_no_chaperone.target_rank,top50,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
without_solubility_no_chaperone.top5_overlap,top50,NOT_PROVIDED,3,AUTHOR_COMPARISON_PENDING
without_solubility_no_chaperone.top10_overlap,top50,NOT_PROVIDED,9,AUTHOR_COMPARISON_PENDING
without_solubility_no_chaperone.spearman_rho,top50,NOT_PROVIDED,0.880048019208,AUTHOR_COMPARISON_PENDING
without_solubility_no_chaperone.kendall_tau,top50,NOT_PROVIDED,0.719183673469,AUTHOR_COMPARISON_PENDING
only_solubility_no_chaperone.target_rank,top50,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
only_solubility_no_chaperone.top5_overlap,top50,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
only_solubility_no_chaperone.top10_overlap,top50,NOT_PROVIDED,2,AUTHOR_COMPARISON_PENDING
only_solubility_no_chaperone.spearman_rho,top50,NOT_PROVIDED,0.226410564226,AUTHOR_COMPARISON_PENDING
only_solubility_no_chaperone.kendall_tau,top50,NOT_PROVIDED,0.149387755102,AUTHOR_COMPARISON_PENDING
without_E7_residual.target_rank,top50,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
without_E7_residual.top5_overlap,top50,NOT_PROVIDED,4,AUTHOR_COMPARISON_PENDING
without_E7_residual.top10_overlap,top50,NOT_PROVIDED,9,AUTHOR_COMPARISON_PENDING
without_E7_residual.spearman_rho,top50,NOT_PROVIDED,0.970996398559,AUTHOR_COMPARISON_PENDING
without_E7_residual.kendall_tau,top50,NOT_PROVIDED,0.871020408163,AUTHOR_COMPARISON_PENDING
only_E7_residual.target_rank,top50,NOT_PROVIDED,39,AUTHOR_COMPARISON_PENDING
only_E7_residual.top5_overlap,top50,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
only_E7_residual.top10_overlap,top50,NOT_PROVIDED,3,AUTHOR_COMPARISON_PENDING
only_E7_residual.spearman_rho,top50,NOT_PROVIDED,0.204129651861,AUTHOR_COMPARISON_PENDING
only_E7_residual.kendall_tau,top50,NOT_PROVIDED,0.151020408163,AUTHOR_COMPARISON_PENDING
identifier_masked.target_rank,top50,NOT_PROVIDED,1,AUTHOR_COMPARISON_PENDING
