target_context_score,target_organism_score,phage_origin_score,docking_support_score,solubility_no_chaperone_score,E6_5_solubility_aggregation_chaperone_score,curated_no_external_chaperone_required_strength,curated_soluble_expression_strength,global_engineering_residual_score
0.525000,0.400000,0.650000,0.518778,0.563889,0.939815,0.000000,0.000000,0.822756
0.525000,0.400000,0.650000,0.537485,0.544420,0.907366,0.000000,0.000000,0.820465
0.525000,0.400000,0.650000,0.520307,0.563158,0.938596,0.000000,0.000000,0.812677
0.525000,0.400000,0.650000,0.523512,0.551042,0.918403,0.000000,0.000000,0.819649
0.525000,0.400000,0.650000,0.523971,0.561676,0.936126,0.000000,0.000000,0.766062
0.525000,0.400000,0.650000,0.520618,0.557652,0.929420,0.000000,0.000000,0.787261
0.525000,0.400000,0.650000,0.502242,0.575831,0.959718,0.000000,0.000000,0.780915
0.525000,0.400000,0.650000,0.496164,0.580723,0.967871,0.000000,0.000000,0.781996
0.525000,0.400000,0.650000,0.501099,0.565625,0.942708,0.000000,0.000000,0.814899
0.525000,0.400000,0.650000,0.507916,0.559438,0.932397,0.000000,0.000000,0.811376
0.525000,0.400000,0.650000,0.492404,0.571552,0.952586,0.000000,0.000000,0.812155
0.525000,0.400000,0.650000,0.524856,0.542248,0.903747,0.000000,0.000000,0.773885
0.525000,0.400000,0.650000,0.531422,0.525868,0.876447,0.000000,0.000000,0.807439
0.525000,0.400000,0.650000,0.574569,0.485265,0.808775,0.000000,0.000000,0.791750
0.525000,0.400000,0.650000,0.476899,0.586747,0.977911,0.000000,0.000000,0.772125
0.525000,0.400000,0.650000,0.490120,0.571687,0.952811,0.000000,0.000000,0.778479
0.525000,0.400000,0.650000,0.467209,0.586957,0.978261,0.000000,0.000000,0.808967
0.525000,0.400000,0.650000,0.545794,0.506796,0.844660,0.000000,0.000000,0.808131
0.425000,0.750000,0.100000,0.772932,0.558799,0.931331,0.000000,0.000000,0.785024
0.550000,1.000000,0.100000,0.411736,0.576541,0.960901,0.000000,0.000000,0.780162
0.525000,0.400000,0.650000,0.480131,0.573729,0.956215,0.000000,0.000000,0.790780
0.525000,0.400000,0.650000,0.498906,0.548815,0.914692,0.000000,0.000000,0.809864
0.525000,0.400000,0.650000,0.566342,0.487748,0.812914,0.000000,0.000000,0.781265
0.525000,0.400000,0.650000,0.479006,0.563794,0.939656,0.000000,0.000000,0.822636
0.525000,0.400000,0.650000,0.472500,0.571552,0.952586,0.000000,0.000000,0.808838
0.525000,0.400000,0.650000,0.468894,0.577251,0.962085,0.000000,0.000000,0.798219
0.425000,0.750000,0.100000,0.818591,0.492715,0.821192,0.000000,0.000000,0.833019
0.525000,0.400000,0.650000,0.472966,0.579087,0.965145,0.000000,0.000000,0.761009
0.550000,1.000000,0.100000,0.429305,0.541526,0.902543,0.000000,0.000000,0.808167
0.525000,0.400000,0.650000,0.472976,0.567092,0.945153,0.000000,0.000000,0.804410
0.525000,0.400000,0.650000,0.497797,0.538021,0.896701,0.000000,0.000000,0.811746
0.525000,0.400000,0.650000,0.491553,0.566827,0.944712,0.000000,0.000000,0.715930
0.525000,0.400000,0.650000,0.562371,0.503411,0.839018,0.000000,0.000000,0.683320
0.525000,0.400000,0.650000,0.492229,0.569711,0.949519,0.000000,0.000000,0.697236
0.550000,1.000000,0.100000,0.446601,0.532895,0.888158,0.000000,0.000000,0.741904
0.525000,0.400000,0.650000,0.493571,0.565385,0.942308,0.000000,0.000000,0.696258
0.525000,0.400000,0.650000,0.503097,0.532852,0.888087,0.000000,0.000000,0.781456
0.525000,0.400000,0.650000,0.476308,0.552370,0.920617,0.000000,0.000000,0.807086
0.525000,0.400000,0.650000,0.504919,0.525352,0.875587,0.000000,0.000000,0.797813
0.525000,0.400000,0.650000,0.472058,0.575481,0.959135,0.000000,0.000000,0.726686
0.525000,0.400000,0.650000,0.489554,0.539437,0.899062,0.000000,0.000000,0.799165
0.525000,0.400000,0.650000,0.477349,0.561676,0.936126,0.000000,0.000000,0.758292
0.525000,0.400000,0.650000,0.453235,0.570833,0.951388,0.000000,0.000000,0.805101
0.525000,0.400000,0.650000,0.468281,0.555612,0.926020,0.000000,0.000000,0.803707
0.525000,0.400000,0.650000,0.537688,0.490232,0.817053,0.000000,0.000000,0.786983
0.525000,0.400000,0.650000,0.445888,0.577251,0.962085,0.000000,0.000000,0.794384
0.525000,0.400000,0.650000,0.472447,0.559421,0.932368,0.000000,0.000000,0.755459
0.525000,0.400000,0.650000,0.435042,0.578082,0.963470,0.000000,0.000000,0.825814
0.525000,0.400000,0.650000,0.483725,0.533621,0.889368,0.000000,0.000000,0.808506
0.525000,0.400000,0.650000,0.429622,0.587204,0.978673,0.000000,0.000000,0.805712
